age,CCESpercent,CCESN,VoterRegPercent,VoterRegN,CCESminusVoterReg
19,0.4766633565044687,1007,0.6354160903769764,90377,-0.1587527338725077
20,0.5941422594142259,1673,0.5755958055290753,110145,0.018546453885150638
21,0.6767068273092369,2490,0.5393416511813114,113010,0.13736517612792554
22,0.8075762655045257,2983,0.520962834522018,122264,0.2866134309825077
23,0.6659768211920529,2416,0.4750195102557684,135826,0.19095731093628454
24,0.7559474979491386,2438,0.45635598042562875,140592,0.2995915175235099
25,0.5846153846153846,2405,0.4513909992540818,144788,0.13322438536130282
26,0.8978529603122967,4611,0.4551042456533555,149023,0.44274871465894117
27,0.8172928461142563,3886,0.4738673863378268,149698,0.3434254597764295
28,0.8022563459730492,3191,0.4912238485813092,145451,0.31103249739174
29,0.776,2125,0.5078514033499321,141376,0.26814859665006796
30,0.8224355128974206,3334,0.5324633595980692,136939,0.28997215329935133
31,0.9686500319897633,3126,0.5566561014263075,133772,0.4119939305634558
32,0.6886051080550099,3054,0.5729423545412425,133818,0.11566275351376731
33,0.753056884635832,3762,0.5878863208302514,131141,0.1651705638055806
34,0.8125718666155615,2609,0.6111145903461664,127742,0.20145727626939502
35,0.8433734939759037,2822,0.6284863171217336,129578,0.21488717685417003
36,0.7373962986598596,3134,0.6372563571735479,128005,0.10013994148631167
37,0.7462207970682547,4366,0.6432546963404242,130261,0.10296610072783052
38,0.872173058013766,3051,0.657369392000628,127385,0.21480366601313794
39,0.8027784668816671,4031,0.6670153962749088,121393,0.1357630706067583
40,0.9300426136363636,2816,0.6769509378790144,120378,0.25309167575734925
41,0.8605983450031827,3142,0.6848886035535814,115264,0.17570974144960128
42,0.9033319621554916,2431,0.6920474210295219,116151,0.21128454112596973
43,0.8545454545454545,3685,0.7039135839513052,116645,0.1506318705941493
44,0.8470055359838953,3974,0.7071344888184418,116084,0.1398710471654535
45,0.9376915219611849,3916,0.7134849983514672,121320,0.2242065236097177
46,0.7928007023705005,1139,0.7251810342237313,133124,0.06761966814676923
47,0.9026584867075664,2445,0.7377701400070762,138493,0.16488834670049024
48,0.7586399108138239,1794,0.7404187797989614,131716,0.018221131014862446
49,0.9381663113006397,2345,0.748199139328926,128272,0.18996717197171364
50,0.9184692179700499,3005,0.7551125865146723,127724,0.1633566314553776
51,0.9480286738351255,2790,0.7617332124806047,130186,0.1862954613545208
52,0.9403956924618082,3993,0.7668913634501509,134255,0.17350432901165735
53,0.9617706237424547,2982,0.7741969428056318,142549,0.18757368093682292
54,0.9655691844200559,4647,0.7813084243523243,142278,0.18426076006773162
55,0.9870068509331443,4233,0.7862913625685746,143457,0.20071548836456976
56,0.960552268244576,4056,0.7946451516913963,147866,0.1659071165531797
57,0.9821455821761026,6553,0.7998729995744135,148031,0.1822725826016891
58,0.9475301347199244,4231,0.8060982227648894,147420,0.14143191195503502
59,0.9425004395990856,5687,0.8124698905542852,147379,0.13003054904480038
60,0.9717735612356908,6377,0.818382220322113,149699,0.15339134091357776
61,0.9524041585445094,6156,0.8263346770568997,144623,0.12606948148760977
62,0.9630895420369104,2926,0.8342401108337062,138586,0.12884943120320425
63,0.9716817568869197,5191,0.8404137529137529,137280,0.13126800397316685
64,0.9741027732463295,4904,0.8481259568383341,128679,0.1259768164079954
65,0.9903296703296703,4550,0.8536481162080478,126394,0.13668155412162253
66,0.9593687038280725,2978,0.8572454190937719,122574,0.10212328473430055
67,0.9813811780636426,2954,0.8592524186455585,113700,0.1221287594180841
68,0.9702939337085679,3198,0.8645803849419756,113056,0.10571354876659222
69,0.8722055388722055,2997,0.8679387143210805,109063,0.004266824551125037
70,1.0,5595,0.872516206313416,113536,0.12748379368658402
71,0.7946979038224414,3244,0.8722535867819962,96535,-0.07755568295955473
72,0.9865083648138154,1853,0.8695640552749044,74826,0.116944309538911
73,0.8678556951763275,2467,0.8684002184002184,73260,-5.445232238908693e-4
74,0.9230055658627088,2156,0.867976532661338,76191,0.05502903320137076
75,0.8994535519125683,915,0.8701866084153602,75077,0.029266943497208042
76,0.9843821773082223,2177,0.8663739693126712,65369,0.11800820799555112
77,0.9795719844357976,2056,0.8601528994965504,58993,0.11941908493924724
78,1.0,1006,0.8572868004030412,54585,0.14271319959695883
79,1.0,2597,0.8547887635478877,54252,0.1452112364521123
80,0.8815039878465628,2633,0.8466429246896441,49701,0.034861063156918726
81,0.9784836065573771,976,0.8405534580214312,45821,0.13793014853594587
82,1.0,629,0.8293616524681994,42845,0.17063834753180063
83,1.0,472,0.8218964127367997,39696,0.1781035872632003
84,1.0,298,0.810171040233003,35021,0.18982895976699699
85,1.0,668,0.7976539589442815,33759,0.20234604105571852
86,1.0,309,0.7811523001339884,31346,0.2188476998660116
87,0.34100135317997293,739,0.7669763400614891,29924,-0.42597498688151614
88,1.0,50,0.7554863753410969,26019,0.24451362465890314
89,0.9320175438596491,456,0.7326391804517591,23818,0.19937836340788995
90,1.0,49,0.715897339475416,21274,0.284102660524584
91,1.0,37,0.6948746518105849,17950,0.30512534818941506
